"We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based. ",,,,,,,,,,
,,,,,,,,,,
All Submitters of data may be contacted directly via www.gisaid.org ,,,,,,,,,,
,strain,virus,gisaid_epi_isl,genbank_accession,originating_lab,submitting_lab,authors,url,title,paper_url
4140,Australia/VIC1459/2020,ncov,EPI_ISL_456448,MT612141.1,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al,https://www.gisaid.org,?,?
6908,Australia/VIC450/2020,ncov,EPI_ISL_426746,?,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al,https://www.gisaid.org,Tracking the COVID-19 pandemic in Australia using genomics,https://dx.doi.org/10.1101/2020.05.12.20099929
7963,Australia/VIC558/2020,ncov,EPI_ISL_426819,?,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al,https://www.gisaid.org,Tracking the COVID-19 pandemic in Australia using genomics,https://dx.doi.org/10.1101/2020.05.12.20099929
7984,Australia/VIC560/2020,ncov,EPI_ISL_426821,?,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al,https://www.gisaid.org,Tracking the COVID-19 pandemic in Australia using genomics,https://dx.doi.org/10.1101/2020.05.12.20099929
8687,Australia/VIC633/2020,ncov,EPI_ISL_426875,?,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al,https://www.gisaid.org,Tracking the COVID-19 pandemic in Australia using genomics,https://dx.doi.org/10.1101/2020.05.12.20099929
8790,Australia/VIC644/2020,ncov,EPI_ISL_426940,?,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al,https://www.gisaid.org,Tracking the COVID-19 pandemic in Australia using genomics,https://dx.doi.org/10.1101/2020.05.12.20099929
9583,Australia/VIC732/2020,ncov,EPI_ISL_427011,?,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al,https://www.gisaid.org,Tracking the COVID-19 pandemic in Australia using genomics,https://dx.doi.org/10.1101/2020.05.12.20099929
10575,Australia/VIC848/2020,ncov,EPI_ISL_427108,?,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, Doherty Institute",Caly L. et al,https://www.gisaid.org,Tracking the COVID-19 pandemic in Australia using genomics,https://dx.doi.org/10.1101/2020.05.12.20099929
11406,Australia/VIC95/2020,ncov,EPI_ISL_419806,?,Victorian Infectious Diseases Reference Laboratory (VIDRL),"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute",Caly L. et al,https://www.gisaid.org,Tracking the COVID-19 pandemic in Australia using genomics,https://dx.doi.org/10.1101/2020.05.12.20099929
11895,Australia/WA60/2020,ncov,EPI_ISL_512713,?,PathWest Laboratory Medicine WA,PathWest Laboratory Medicine WA Microbial Surveillance Unit,PathWest Laboratory Medicine WA Microbial Surveillance Unit et al,https://www.gisaid.org,?,?
11920,Australia/WA85/2020,ncov,EPI_ISL_512738,?,PathWest Laboratory Medicine WA,PathWest Laboratory Medicine WA Microbial Surveillance Unit,PathWest Laboratory Medicine WA Microbial Surveillance Unit et al,https://www.gisaid.org,?,?
11958,Austria/CeMM0025/2020,ncov,EPI_ISL_437915,?,"Institut für Virologie am Department für Hygiene, Mikrobiologie und Public Health","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al,https://www.gisaid.org,Mutational dynamics and transmission properties of SARS-CoV-2 superspreading events in Austria,https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1
12274,Austria/CeMM0420/2020,ncov,EPI_ISL_475848,?,Austrian Agency for Health and Food Safety (AGES),"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al,https://www.gisaid.org,?,?
12410,Austria/CeMM0647/2020,ncov,EPI_ISL_583621,?,Pathologie-Labor Dr. Obrist- Dr. Brunhuber,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al,https://www.gisaid.org,?,?
12535,Austria/CeMM0893/2020,ncov,EPI_ISL_583746,?,Dr. Gernot Walder GmbH,"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al,https://www.gisaid.org,?,?
13060,Beijing/235/2020,ncov,EPI_ISL_413521,MT135044.1,"Infectious Disease Control Center, Center for Disease Control and Prevention of PLA","Infectious Disease Control Center, Center for Disease Control and Prevention of PLA",Li et al,https://www.gisaid.org,?,?
16157,Canada/MB-NML-1054/2020,ncov,EPI_ISL_582413,?,Cadham Provincial Laboratory,National Microbiology Laboratory (NML),Anna Majer et al,https://www.gisaid.org,?,?
16335,Canada/MB-NML-843/2020,ncov,EPI_ISL_582333,?,Cadham Provincial Laboratory,National Microbiology Laboratory (NML),Anna Majer et al,https://www.gisaid.org,?,?
16347,Canada/MB-NML-865/2020,ncov,EPI_ISL_582346,?,Cadham Provincial Laboratory,National Microbiology Laboratory (NML),Anna Majer et al,https://www.gisaid.org,?,?
16410,Canada/NB-238/2020,ncov,EPI_ISL_479651,?,Dr. Georges-L.-Dumont University Hospital Centre,National Microbiology Laboratory,Anna Majer et al,https://www.gisaid.org,?,?
16414,Canada/NB_245/2020,ncov,EPI_ISL_481743,?,Dr. Georges-L.-Dumont University Hospital Centre,National Microbiology Laboratory,Anna Majer et al,https://www.gisaid.org,?,?
16661,Canada/NS-NML-917/2020,ncov,EPI_ISL_579560,?,QEII Health Sciences Centre,National Microbiology Laboratory (NML),Anna Majer et al,https://www.gisaid.org,?,?
16675,Canada/NS-NML-943/2020,ncov,EPI_ISL_579574,?,QEII Health Sciences Centre,National Microbiology Laboratory (NML),Anna Majer et al,https://www.gisaid.org,?,?
16690,Canada/NS-NML-963/2020,ncov,EPI_ISL_579589,?,QEII Health Sciences Centre,National Microbiology Laboratory (NML),Anna Majer et al,https://www.gisaid.org,?,?
16707,Canada/ON-CVD00060/2020,ncov,EPI_ISL_586268,?,Toronto Invasive Bacterial Diseases Network,McMaster University,Allison McGeer et al,https://www.gisaid.org,?,?
16728,Canada/ON-OICR-SLB2800/2020,ncov,EPI_ISL_538332,?,Kingston Health Sciences Centre / Queen's University,Ontario Institute for Cancer Research,Prameet M. Sheth et al,https://www.gisaid.org,?,?
16746,Canada/ON-OICR-SLB2822/2020,ncov,EPI_ISL_538350,?,Kingston Health Sciences Centre / Queen's University,Ontario Institute for Cancer Research,Prameet M. Sheth et al,https://www.gisaid.org,?,?
17125,Canada/ON-S120/2020,ncov,EPI_ISL_586293,?,Toronto Invasive Bacterial Diseases Network,McMaster University,Allison McGeer et al,https://www.gisaid.org,?,?
17264,Canada/ON-S739/2020,ncov,EPI_ISL_586432,?,Toronto Invasive Bacterial Diseases Network,McMaster University,Allison McGeer et al,https://www.gisaid.org,?,?
17658,Canada/QC-LSPQ-L00218371/2020,ncov,EPI_ISL_535780,?,Centre de SSS de la Haute-Yamaska,Laboratoire de santé publique du Québec,Sandrine Moreira et al,https://www.gisaid.org,?,?
17698,Canada/QC-LSPQ-L00224744/2020,ncov,EPI_ISL_535820,?,Hôtel-Dieu de Lévis,Laboratoire de santé publique du Québec,Sandrine Moreira et al,https://www.gisaid.org,?,?
17712,Canada/QC-LSPQ-L00225662/2020,ncov,EPI_ISL_535834,?,Hôtel-Dieu de Lévis,Laboratoire de santé publique du Québec,Sandrine Moreira et al,https://www.gisaid.org,?,?
17844,Canada/QC-LSPQ-L00231946/2020,ncov,EPI_ISL_535966,?,Hôpital Charles-LeMoyne,Laboratoire de santé publique du Québec,Sandrine Moreira et al,https://www.gisaid.org,?,?
17922,Canada/QC-LSPQ-L00233849/2020,ncov,EPI_ISL_536042,?,CSSS Haut-Richelieu/Rouville (Hôpital),Laboratoire de santé publique du Québec,Sandrine Moreira et al,https://www.gisaid.org,?,?
18113,Canada/QC-LSPQ-L00239077/2020,ncov,EPI_ISL_536232,?,Centre hospitalier Anna-Laberge,Laboratoire de santé publique du Québec,Sandrine Moreira et al,https://www.gisaid.org,?,?
18367,Canada/QC_AQ1/2020,ncov,EPI_ISL_463927,?,"Laboratoire de microbiologie, Hopital de Verdun","Smith Laboratory, Centre de Recherche CHU Sainte-Justine",Martin Smith et al,https://www.gisaid.org,?,?
18462,Canada/Qc-L00241112/2020,ncov,EPI_ISL_465697,?,Centre de santé Inuulitsivik,Laboratoire de santé publique du Québec,Sandrine Moreira et al,https://www.gisaid.org,?,?
18650,Chongqing/YC01/2020,ncov,EPI_ISL_408478,?,Yongchuan District Center for Disease Control and Prevention,Chongqing Municipal Center for Disease Control and Prevention,Ye Sheng et al,https://www.gisaid.org,?,?
19454,Denmark/ALAB-HH-135/2020,ncov,EPI_ISL_452014,?,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19458,Denmark/ALAB-HH-139/2020,ncov,EPI_ISL_452018,?,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19490,Denmark/ALAB-HH-186/2020,ncov,EPI_ISL_452050,?,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19492,Denmark/ALAB-HH-189/2020,ncov,EPI_ISL_452052,?,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19533,Denmark/ALAB-HH-262/2020,ncov,EPI_ISL_452093,?,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19550,Denmark/ALAB-HH13/2020,ncov,EPI_ISL_429271,?,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19568,Denmark/ALAB-HH31/2020,ncov,EPI_ISL_429289,?,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19591,Denmark/ALAB-HH66/2020,ncov,EPI_ISL_429312,?,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19602,Denmark/ALAB-HH83/2020,ncov,EPI_ISL_429324,?,"Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre, Kettegaard Alle 30, 2650 Hvidovre.","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19613,Denmark/ALAB-SSI-1033/2020,ncov,EPI_ISL_437629,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19637,Denmark/ALAB-SSI-1257/2020,ncov,EPI_ISL_444831,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19656,Denmark/ALAB-SSI-1292/2020,ncov,EPI_ISL_444848,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19687,Denmark/ALAB-SSI-243/2020,ncov,EPI_ISL_437658,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19698,Denmark/ALAB-SSI-559/2020,ncov,EPI_ISL_436969,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19753,Denmark/ALAB-SSI-652/2020,ncov,EPI_ISL_437023,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19754,Denmark/ALAB-SSI-653/2020,ncov,EPI_ISL_437024,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19798,Denmark/ALAB-SSI-741/2020,ncov,EPI_ISL_444883,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19802,Denmark/ALAB-SSI-745/2020,ncov,EPI_ISL_437667,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19847,Denmark/ALAB-SSI-819/2020,ncov,EPI_ISL_444922,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19914,Denmark/ALAB-SSI113/2020,ncov,EPI_ISL_429344,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19918,Denmark/ALAB-SSI119/2020,ncov,EPI_ISL_429348,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19919,Denmark/ALAB-SSI120/2020,ncov,EPI_ISL_429349,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
19972,Denmark/ALAB-SSI204/2020,ncov,EPI_ISL_429402,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
20019,Denmark/ALAB-SSI298/2020,ncov,EPI_ISL_429449,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
20081,Denmark/ALAB-SSI414/2020,ncov,EPI_ISL_429511,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
20130,Denmark/ALAB-SSI481/2020,ncov,EPI_ISL_429560,?,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al,https://www.gisaid.org,?,?
20169,Denmark/SSI-104/2020,ncov,EPI_ISL_415648,?,"Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.",ViFU,Morten Rasmussen et al,https://www.gisaid.org,?,?
21671,England/20124003702/2020,ncov,EPI_ISL_418690,?,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
22985,England/20139047604/2020,ncov,EPI_ISL_420695,?,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
23110,England/20140007602/2020,ncov,EPI_ISL_423383,?,"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England","Respiratory Virus Unit, Microbiology Services Colindale, Public Health England",Monica Galiano et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
36099,England/BRIS-1253DE/2020,ncov,EPI_ISL_443943,?,"PHE South West Regional Laboratory, National Infection Service",Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,Stephanie Hutchings et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
36121,England/BRIS-125550/2020,ncov,EPI_ISL_443842,?,"PHE South West Regional Laboratory, National Infection Service",Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,Stephanie Hutchings et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
36306,England/BRIS-126337/2020,ncov,EPI_ISL_459007,?,"PHE South West Regional Laboratory, National Infection Service",Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,Stephanie Hutchings et al,https://www.gisaid.org,?,?
36470,England/BRIS-12705D/2020,ncov,EPI_ISL_469641,?,"PHE South West Regional Laboratory, National Infection Service",Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,Stephanie Hutchings et al,https://www.gisaid.org,?,?
36921,England/BRIS-1298AE/2020,ncov,EPI_ISL_458426,?,"PHE South West Regional Laboratory, National Infection Service",Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,Stephanie Hutchings et al,https://www.gisaid.org,?,?
37000,England/BRIS-12A2DC/2020,ncov,EPI_ISL_458396,?,"PHE South West Regional Laboratory, National Infection Service",Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,Stephanie Hutchings et al,https://www.gisaid.org,?,?
38532,England/BRIS-1854169/2020,ncov,EPI_ISL_492383,?,"PHE South West Regional Laboratory, National Infection Service",Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,Stephanie Hutchings et al,https://www.gisaid.org,?,?
38829,England/CAMB-1AB73E/2020,ncov,EPI_ISL_470184,?,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,Luke W Meredith et al,https://www.gisaid.org,?,?
38949,England/CAMB-1AC032/2020,ncov,EPI_ISL_444362,?,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
39253,England/CAMB-1ADBA9/2020,ncov,EPI_ISL_448042,?,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
39438,England/CAMB-1AED75/2020,ncov,EPI_ISL_452859,?,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
39622,England/CAMB-1B05E1/2020,ncov,EPI_ISL_452898,?,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
42514,England/CAMB-7C5E2/2020,ncov,EPI_ISL_442286,?,"Department of Pathology, University of Cambridge",Wellcome Sanger Institute for the COVID-19 Genomics UK Consortium,Luke W Meredith et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
43415,England/CAMB-80E77/2020,ncov,EPI_ISL_444437,?,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
43633,England/CAMB-81F46/2020,ncov,EPI_ISL_438597,?,"Department of Pathology, University of Cambridge",COVID-19 Genomics UK (COG-UK) Consortium,Luke W Meredith et al,https://www.gisaid.org,Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages,https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507
44834,England/CAMC-9BFE58/2020,ncov,EPI_ISL_573156,?,"Oxford Viromics, NDM, University of Oxford; Oxford University Hospitals; Basingstoke and North Hampshire Hospital",COVID-19 Genomics UK (COG-UK) Consortium,Tanya Golubchik et al,https://www.gisaid.org,?,?
48479,England/LIVE-A63A9/2020,ncov,EPI_ISL_499704,?,Liverpool Clinical Laboratories,COVID-19 Genomics UK (COG-UK) Consortium,Sam Haldenby et al,https://www.gisaid.org,?,?
